"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73"
"1",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"2",205,285,338,353,321,291,300,326,294,281,290,277,254,281,306,329,291,306,370,327,406,420,478,510,498,465,513,568,616,535,595,532,568,658,618,668,661,655,594,540,571,528,534,523,523,520,513,534,535,360,357,326,358,329,325,294,301,354,330,327,286,268,272,259,247,226,244,249,224,221,180,222,189
"3",82,59,90,75,81,79,94,95,90,88,75,34.390529992555,35.5421751992428,37.3147851933313,88,72,84,55,83,84,99,99,106,104,95,82,82,83,97,78,109,99,101,104,121,97,108,87,102,93,69,111,86,96,90,84,57,75,66,58,66,73,64,60,64,54,48,53,57,52,53,53,57,58,42,53,38,55,37,51,40,50,31
"4",43,49,59,48,52,66,46,57,57,68,55,34.5821148153937,35.6879874267629,37.4689549983798,52,48,50,45,45,41,55,47,60,60,45,49,52,36,47,44,48,42,53,56,51,41,53,57,49,50,40,44,46,46,47,53,38,37,31,36,32,43,25,22,29,36,35,28,36,17,31,23,27,35,29,25,17,28,23,22,24,14,31
"5",41,36,42,34,45,36,38,44,40,45,44,34.8017574499353,35.854671334268,37.6494711440962,44,36,28,25,38,46,46,54,34,48,32,34,33,37,38,31,43,34,31,43,27,28,39,41,30,23,34,37,30,33,30,31,25,22,27,16,20,21,18,20,15,20,21,15,15,24,17,24,23,16,14,18,15,16,12,15,10,13,14
"6",32,49,44,44,33,36,35,35,34,44,36,35.0690225495268,36.0567878199528,37.8748160288974,37,35,28,38,41,33,27,42,48,35,29,31,27,24,32,21,22,32,25,28,24,28,20,23,29,27,25,25,24,24,28,15,21,29,22,18,12,17,16,17,12,19,12,9,21,14,19,16,12,14,15,13,23,12,8,15,11,11,18
"7",36.4597522925721,35.3808178732493,38.7064358529155,31.7465396172131,33.670275157816,30.044561526202,26.4675514167447,31.8635581271937,27.1141000667449,27.1333357589141,31.6760250803868,35.4361861620828,36.3335517562624,38.1943039036624,20.8488034237648,23.076887185513,25.3939063413303,22.8169848505173,27.9672109161621,25.5846929557111,25.4462766763473,23.3222691103015,25.4101403014626,22.116133992995,21.8687572101404,19.0340370578272,19.3929838650035,18.104670570057,19.7050054982289,12.5768705848884,13.3979850259659,13.9709467614591,15.506578371019,14.4525500340876,16.2060673632636,11.3635493233779,12.7569830315102,14.8298018307897,13.6524857796004,11.8920543112542,12.6775075825909,12.405741426509,12.8692522023451,12.5747744875243,12.7844308408051,13.695248603763,13.9560904762205,13.7564916163094,17.0417180105823,12.6247914973796,12.3190490510917,9.75305001667567,9.93291497235125,11.3948697043608,8.47646681133027,11.2580355214783,11.2853638797337,10.7095491499989,10.3933710167454,8.38337735741917,8.41848978951725,7.7614585357163,6.73882437396777,7.50492919267545,7.84419897090711,7.80871715441505,8.13420147189454,8.18492785908963,7.12903049245721,6.87625457843657,6.11624101303862,7.57665092269827,8.36954400397216
"8",39.2018265026424,37.8800325631545,40.8834685740935,34.2146262005159,35.777326391358,32.0305587936615,28.5204744891488,33.7228463650666,28.7889314752102,29.0409556820579,33.3611675314237,35.9543521828684,36.722742692099,38.6556769768887,22.859215289695,25.1204521228938,27.5550573505457,24.8955989946909,30.2794220321728,28.160086552104,27.9439866024665,25.9832260284372,28.1975318022584,24.6581899921706,24.5281222035882,21.4932339394364,21.8609891639557,20.2773374914777,22.0174637119337,14.3977431795678,15.4234136745307,15.7010257827251,17.342193671149,16.2526480377398,17.8889363735333,13.051059088375,14.4258299861195,16.4503587131637,15.4431800262778,13.3426721660136,14.2480948584479,13.9626363263908,14.4111652956546,14.1787297995759,14.4176417842621,15.3102148161084,15.6238394950353,15.4968943844232,18.7503441306554,14.2764749254662,13.9399009075575,11.2390208324296,11.5718764057712,13.0912871117724,9.95624059036351,12.9297827557303,12.9218081918922,12.2472234841892,11.9630535309837,9.8031021360099,9.85967579655575,9.09357245804499,7.96812586353418,8.74720000758224,9.11526639659386,9.09293789469769,9.42100757281108,9.48320439567646,8.32878722977015,7.93743994259238,7.19066814141177,8.89117585677235,9.60882117429873
"9",42.1551929279903,40.5617296509658,43.1989775446565,36.8748500942647,38.0232322515527,34.1529981090227,30.7342599008803,35.7006111633237,30.5752279326467,31.0848759490268,35.1415035402471,36.6709009812573,37.2627968554305,39.3023961768999,25.0656845967767,27.3463504601399,29.9003096399561,27.161730971387,32.7843567538671,30.9942282020038,30.6894014950888,28.95023535078,31.2885231082901,27.492405205288,27.5095521282112,24.269324049081,24.6430834168539,22.7132528010738,24.6022507417808,16.4831352536702,17.7558723970624,17.648379263797,19.3978673226415,18.2796427919881,19.7522420477755,14.9900617208504,16.3153441537915,18.2526959139195,17.4697620452488,14.9722549348516,16.0144681505886,15.7170515115122,16.1402046625424,15.9879630764234,16.2592324637141,17.1172167847519,17.4907736277899,17.4575755453997,20.6340372358283,16.1447851055417,15.7741717288538,12.9512477904561,13.4795942574901,15.0401548073551,11.6936284537963,14.8507724412444,14.7965137946593,14.0078841434199,13.7712283513554,11.4634078454308,11.548035257569,10.6549093157116,9.4216355942988,10.195928795374,10.5930528213306,10.5893335415756,10.9122149941742,10.9882034099583,9.73107497752279,9.1639161097408,8.45424029955924,10.4334984254863,11.0320457456901
"10",45.3409044767854,43.4447794568007,45.6762389267055,39.7424150389032,40.4235624387707,36.4260273275374,33.1230559954107,37.8134674238714,32.4877365460332,33.2768738658804,37.0273999829428,37.6427633635417,37.9987127394367,40.1860302130688,27.4894887702527,29.7721725821485,32.445515700998,29.6305039711687,35.4995707510047,34.1126238559491,33.7095889459728,32.2609853127152,34.7139992844371,30.6523292253646,30.8506824522432,27.4022708571427,27.7792427870486,25.4468938602102,27.4924110408812,18.8724332351017,20.4428117203404,19.843425738326,21.7028083185168,20.5649170620109,21.8209853880971,17.2190031558776,18.4571639117952,20.2619191222273,19.7643690287158,16.8049571107247,18.0022838146061,17.6962565701829,18.0815246533424,18.0294620940208,18.3355160864214,19.1407212564121,19.5805689761241,19.6665100179245,22.714449869899,18.2586982586987,17.8501291545892,14.9240225389247,15.6982761137376,17.2789276725161,13.73266992334,17.0592423205122,16.9452080498776,16.0262296501158,15.8556787646234,13.4052308039609,13.5264679481548,12.4855746359401,11.1401982998846,11.8863480273214,12.3120133719472,12.3340372982267,12.6412053636933,12.7337114585379,11.3707773251484,10.5830859521594,9.94071019587982,12.2427921047448,12.667004300036
