"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73"
"1",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"2",59727,61465,62762,62377,61369,61416,62394,64366,65082,64291,63936,62120,60939,59734,57348,53419,49173,45442,44026,43280,42847,39098,34710,31986,30305,28812,27320,26875,26088,25980,25804,24452,24073,22969,22359,22958,22224,21798,22007,22361,21856,21008,19545,18959,17814,16622,15965,15788,15786,15646,15718,15477,15717,15902,15718,16018,15980,16293,15677,14744,13704,13327,13139,13119,12886,13008,12867,12468,12068,11674,10859,10909,11371
"3",4298,4222,4362,4197,3911,3877,3782,3940,3885,3828,3949,2953.15553213471,2809.04658185731,2925.99996521148,3380,3252,3247,2767,2650,2430,2346,2360,2332,2181,1893,1798,1749,1753,1798,1659,1836,1742,1740,1684,1605,1584,1583,1558,1588,1578,1548,1566,1427,1449,1380,1343,1181,1165,1104,1103,1090,1111,1083,1060,1056,1088,975,1056,1101,973,928,918,900,929,793,913,874,859,831,825,785,787,909
"4",2514,2636,2694,2485,2335,2285,2259,2350,2442,2415,2439,2400.28580777153,2306.07745962876,2393.06075808122,2292,2118,2081,1917,1814,1706,1595,1546,1650,1607,1404,1264,1223,1259,1274,1180,1208,1204,1140,1170,1109,1109,1098,1107,1108,1024,1027,1032,1025,1055,1018,954,880,792,773,797,746,747,726,753,670,738,669,665,679,659,664,619,620,588,566,565,572,587,612,515,512,529,613
"5",1975,1934,1994,1905,1740,1746,1700,1687,1824,1744,1921,1961.32980872739,1902.52457119031,1966.48259117938,1703,1676,1632,1601,1483,1403,1381,1288,1274,1302,1264,1046,1053,950,987,979,978,870,882,933,784,829,875,893,854,821,757,813,762,848,805,712,722,652,568,601,558,563,537,582,507,521,502,502,520,501,508,492,461,431,429,462,468,461,454,390,416,440,461
"6",1275,1702,1651,1529,1372,1310,1370,1386,1392,1477,1535,1617.14365657479,1582.74433961871,1628.94860969237,1503,1482,1425,1366,1330,1253,1172,1103,1038,1088,1026,978,890,758,807,773,739,784,686,725,644,719,706,703,671,687,637,634,595,640,638,600,566,512,475,474,430,478,460,431,416,418,395,412,393,376,366,376,414,374,384,341,342,325,346,311,313,349,370
"7",992.68816380109,1023.239199485,1123.75789661787,1064.9196872513,1039.05096826246,1062.95402305353,1052.444511969,1069.47502561132,1041.3010302564,1089.36402384603,1100.21383040854,1356.72748355333,1338.21702759257,1370.5541847631,1063.49284163293,1045.27445057204,1059.50559567974,1006.53275516535,1047.69287534134,1030.70113389203,950.693605516273,900.379834692042,793.329795472304,783.77674325241,681.932658069912,624.737705459647,614.063807970092,597.679982296644,554.070605916127,521.745353690264,482.524772206168,453.37786122882,429.618337392827,401.709237440201,393.591143308404,382.857440087769,377.803592767676,430.240193527634,412.111213909648,398.265085868897,363.567858734104,346.30185460147,338.120388563907,326.961492190474,320.649173437146,328.135978106296,329.681673169256,299.045529489561,300.819739498276,286.785848140477,263.932648580238,239.544617253164,234.012328678664,222.95504476291,224.713915019551,206.383276808231,206.046957862527,201.880830549479,181.438164926532,188.111663672918,175.487475424978,187.69809148437,178.399044888886,195.099194868985,189.709424434018,191.316556359218,187.829647517871,171.760850342672,171.847978762796,172.890463325615,155.640063074942,174.869627443396,186.295363553862
"8",946.004514990521,976.4674966826,1056.95453353083,1014.45610632124,984.765802580227,1005.36516149847,997.518578725499,1026.9342069405,1000.26487073088,1053.27639611598,1057.5892461629,1167.19320350441,1158.32422106711,1179.49937985421,1030.43968511402,1014.39647759487,1028.38872606664,986.756169658033,1026.45006294338,1008.34940554727,943.819086424785,897.644620367063,809.568853266386,802.282282473709,707.685422750879,649.432208358728,634.514187516865,617.616217924366,575.418355883377,539.609196041747,501.601610797949,474.233961643375,450.087903087331,423.721601730453,415.942556812275,405.689827982774,401.38383452372,445.876640128397,429.542951608437,417.901072912473,384.414992099489,372.268253623424,362.819789898275,355.033750180212,349.341285607462,356.54104379405,355.098970228439,325.830425653569,326.313481392735,311.637835772675,290.360105946669,265.725634344537,261.063429660094,250.49170837378,250.324327866145,232.095362636267,229.065767554152,224.951786803185,203.298272352937,209.097190920575,195.565308766117,207.444787494364,197.355527674824,212.286723339044,208.245752354057,209.924671473137,206.702199736216,194.168898418667,192.260433682608,194.449846803723,180.218293061624,199.394427468671,211.055674648934
"9",904.224237529078,934.497219996198,997.51582837546,969.219061225361,936.11754753468,953.839979667579,948.440456975099,988.93138207448,963.635315852013,1021.18048949643,1019.71478548266,1035.15104826631,1032.00432574935,1044.26973731132,1002.07447411635,988.317065179479,1002.51950301785,971.279022591179,1009.89099519301,991.007220325352,940.90015767643,898.725867066861,829.325732226446,824.414141703618,737.109636614352,677.599458221429,658.159537915452,640.793377749648,599.9873286503,560.516163881978,523.657060633315,497.921510008914,473.24999645405,448.396957408841,440.918155505319,431.195326496279,427.842893991924,463.79444446132,449.405917333872,440.054594475445,407.938332608332,401.411545643846,390.500921523011,386.608686020548,381.701275714794,388.498211909824,383.636565481196,355.999561496831,354.956105360888,339.598498747991,320.248475843741,295.509670063248,291.940387924799,282.055160924311,279.543860824883,261.644312622508,255.369604132532,251.32658375995,228.374574081052,232.995318132955,218.469805189401,229.819708575633,218.834767195871,231.549682594613,229.104037226667,230.885792874414,228.039055856911,219.923647087296,215.547589991104,219.115162117761,209.052072044746,227.867687633253,239.623050719851
"10",868.970124551002,898.939963967036,947.212650134534,930.897424827824,894.686666865497,910.005634212783,906.90353802527,957.291268025886,933.207384999994,994.965664963468,988.601645064921,951.851933300375,951.994231540562,957.077513760966,980.93704102726,969.768486470463,984.959672589844,963.022150881656,1001.18544457827,982.029450342964,945.051853831109,906.72469425062,855.484821830093,853.103162790494,772.858479204477,711.715788679649,687.418361519799,669.691989221893,630.146294572181,586.820361266607,550.900001912265,526.36033986997,500.8813641475,477.306510037619,469.99895155047,460.833162323608,458.76827337101,485.665861764355,473.404258542865,466.343574267278,435.754205304454,435.243367141886,422.593863653798,423.150839338028,419.241547703667,425.481745570985,416.743639369725,390.915757312014,388.063980306033,371.95680790181,354.844362404435,330.129144186314,327.887950949828,318.874946278433,313.573645311706,296.252149979492,286.138481981294,282.147573651027,257.732132605423,260.780777912973,245.130723238825,255.715375218193,243.674835110755,253.671133677813,253.070926645262,255.023678135709,252.715743636909,249.964728385922,242.571029742231,247.762824078414,243.287339825031,261.463213736602,273.121214136115
"11",844.242460012925,873.757106220781,910.58813762947,903.658336262271,864.427465733133,877.958522808981,877.139772625687,936.453310732014,913.34657513837,979.197176026536,969.140769381549,908.272687940786,910.81795688044,910.532750071053,973.207997418504,965.417186118433,983.209072524167,969.139257133332,1008.1100030651,989.673034117844,963.978982659314,929.345842567126,895.329925005357,895.77067470965,821.692237917079,758.097571610389,728.450813522292,710.645266830334,671.958325091136,624.557631974411,589.004305145528,564.463153626647,537.521912985761,514.442311783632,506.934425981213,498.292380787238,498.189970715941,515.750737651346,505.89420364183,500.896616067336,471.995456238549,477.554605336745,462.685461507376,468.265739647084,465.677094638816,471.116362135688,458.04418313963,433.910740551294,428.877127710419,411.881353646895,397.115450940826,372.464800252651,371.758568859371,363.685259606155,355.189480154974,338.674876950164,324.165135838178,320.084703407505,293.815108128441,294.71409041358,277.688206431741,287.219245630466,273.822626368628,280.540540955416,281.993156416007,284.288192997005,282.809280636826,286.292216293488,275.244921371399,282.280009287246,285.180561375158,302.70298246176,313.984433972058
"12",834.155426571535,863.017638022407,892.166678618593,891.767981605469,849.320872526623,861.807625226796,863.440907989954,931.089556464129,908.656904718506,978.77111044421,966.535223209225,900.362189014671,905.749019910075,902.321319736464,985.816613921283,982.85860320782,1005.94667444717,998.076876152487,1039.89090046312,1023.81802504173,1007.17351288367,976.226988162031,958.45878557837,962.284405306991,892.862731463379,825.431399492564,789.636845001021,772.321889703604,733.820067915771,682.086240323144,645.904454712853,619.103334447766,589.522470569955,565.414058673972,556.988270441513,548.777990164292,551.868586698519,559.864684440703,552.92082354787,549.492246973743,522.566723756978,533.860076295078,515.967581548819,527.25956892887,526.517156371371,530.740669929671,512.824314884847,489.90797157073,482.148941617838,464.039409198253,451.483596236032,426.855665506065,427.862405627234,420.623339006635,408.589851907713,393.122144282651,373.711374427342,369.205374277459,340.359217033812,338.202467118432,319.375402622066,327.446497218733,312.179634285846,314.912585305058,318.58288332764,321.553804780328,321.410230980045,331.911491677705,316.435925394303,325.485700866064,338.160803288037,355.463611868539,365.918031037671
"13",842.20524363054,870.127903892449,895.440368072882,898.682599350324,852.482074210458,864.787154427769,869.254880433531,945.035979505159,922.940106947201,997.761217398053,985.067947434381,924.894903094394,934.609532327392,930.720098825933,1025.15053720407,1029.31427577164,1061.71278249389,1058.40818772164,1106.04896423009,1094.95441138973,1085.05668034205,1058.23944518487,1056.26207562602,1064.48130914763,997.812720499192,924.601392972138,881.389387225816,865.650252665468,826.509745908626,770.251417444725,732.047741484011,699.257377551244,665.149390280966,637.506159705316,627.006942736349,619.075900913274,627.42991282808,625.348809541669,622.238856308015,619.53993349896,595.251004602769,611.51467448515,589.324224902084,607.279775380668,609.228239955558,611.505143125694,588.086085460357,565.507171356767,554.209741149256,534.688865181864,523.990943036655,499.359276540224,502.253747520459,495.537960346282,479.705300451733,465.640361327427,440.919264708279,435.354660855656,402.762089071509,396.080710527947,374.805173443532,380.794712055011,362.851864531873,360.606661303817,366.629031838464,370.85675645326,372.906167341634,391.11545641264,370.208463724496,381.361182179569,407.22512730855,425.414837633455,434.242826507213
