"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73"
"1",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"2",126,145,164,163,155,194,188,175,191,182,203,194,199,153,148,166,147,134,97,84,89,85,68,68,55,60,53,62,64,80,78,59,91,82,95,94,84,83,76,81,82,63,68,63,65,64,77,77,64,60,70,60,70,71,73,67,67,68,57,60,54,48,52,57,64,48,58,55,49,48,47,37,42
"3",96,98,112,112,102,148,178,173,159,150,399,229.66963778912,212.954168059569,209.57644085637,355,353,350,316,66,63,81,71,54,55,48,38,42,39,38,66,57,69,63,69,57,54,69,55,77,65,74,77,61,64,68,40,51,57,51,48,50,49,50,39,53,37,53,48,50,46,45,51,61,40,34,38,44,37,26,40,31,35,38
"4",134,117,127,116,141,202,203,191,194,192,1e-04,211.292870096526,198.750632003241,195.868220686353,1e-04,1e-04,1e-04,1e-04,78,75,66,80,50,60,44,49,40,45,32,65,65,82,95,73,70,66,74,70,73,64,58,56,76,63,66,61,41,54,42,63,51,62,44,52,43,53,45,59,49,58,38,37,50,47,39,41,44,46,50,41,40,39,42
"5",156,154,130,131,149,215,197,191,205,228,1e-04,194.44002875694,185.520587313954,183.051424552169,1e-04,1e-04,1e-04,1e-04,127,98,91,71,88,54,62,53,51,38,19,68,60,90,78,84,63,61,67,73,71,66,75,72,57,65,64,58,56,60,55,54,60,61,59,44,53,43,53,49,46,43,45,43,45,45,37,54,52,36,43,34,44,28,43
"6",101,135,144,117,129,182,229,191,219,206,1e-04,179.014987195263,173.212649545714,171.06503094963,1e-04,1e-04,1e-04,1e-04,107,119,109,89,74,61,62,71,54,49,27,81,59,65,68,78,81,73,63,75,68,65,65,68,64,58,64,58,59,58,51,54,46,47,62,50,63,48,53,48,56,46,49,58,53,40,50,42,56,47,42,41,54,40,34
"7",52.3193024570826,59.62796208708,67.5131881971876,62.3727155552108,83.0022451250012,114.912869689978,138.523009067062,122.975823785353,134.919583935765,130.250669376271,136.3913111563,164.973154837753,161.803444803395,159.855773092314,138.285334695054,141.232725865354,134.213156054602,146.646292951727,102.592678523225,98.0295543234659,90.1151917402359,81.6014525404841,71.5154627106515,68.88508088597,62.8623200856752,57.7398342090115,50.4080476082878,45.343921661569,38.5857879031115,64.3637401817056,60.0409274598064,59.9123757203505,54.3419430989421,54.4030949126645,47.2658787093296,49.979419944149,52.1443485675104,46.373946451051,45.7429042509725,55.0680616512318,48.9915547551108,46.1452931349635,47.3234229501319,48.3763477498039,46.5711217152287,45.719586623563,44.3757906277398,51.2607354884386,41.4422743826739,48.2598901431613,45.6170870163238,49.3203481721417,48.3051220810764,45.8162250408364,44.9914675957416,44.4776281825831,38.1235597755881,45.7356029791694,46.5227454224724,40.6881938353221,41.6436546862841,37.1623920667101,37.7783868348761,39.7827108260361,37.2242409922726,39.0734424829242,37.6007480761893,41.7525756382886,37.0339584654564,35.5200777670467,34.1064108493515,31.0337047101246,35.4225433536523
"8",51.612601347961,58.0595134638477,65.1708284761852,60.7404652067903,78.2791940625805,107.633950692263,127.448458252982,115.281205558174,126.653844621055,122.054239835892,128.99134015621,152.250299385955,151.260138752195,149.37376770773,132.458484818386,135.180251944127,129.533177346144,140.893102211033,99.0973337620368,94.4842551638316,88.1602032347087,80.9273819477099,71.8724821175727,68.9429002352113,63.4811949630575,58.2619000459509,51.1707486371264,46.9183024266884,39.5803165864537,65.1468358185039,61.2898969965151,60.6211804561843,55.8483461748227,55.3353289993134,48.4503322302723,50.6925127386651,52.5449898485348,47.0694955907095,46.5450061201357,54.7564863610462,49.443609096233,46.4740312908755,47.7552759171468,48.5235292163592,46.9478279199786,45.9377052138615,45.0026702155768,51.143823781868,42.2672621760935,48.6769334475191,46.2523477747471,49.7959329826704,48.7744804290288,46.5795586777801,45.6975484760693,45.2244100935859,39.0619438128102,46.3766030120816,46.6954420781506,41.2750679054667,42.4715079992422,37.9586454877019,38.6960560664054,40.5833842505015,37.8987929189231,39.6484763464358,38.0086831025972,41.7207931727753,37.602332200264,36.2028084524795,34.8788368875142,31.8354950621519,36.3902163347488
"9",50.9405953031036,56.5637180380772,62.9476635449033,59.1771404765639,73.8725322944838,100.886076150753,117.349276585304,108.120394655759,118.937702882762,114.417896956654,122.019257013381,140.795157095985,141.570707633317,139.642778288923,126.917030382652,129.424922829984,125.05644807887,135.390305399831,95.7528014852846,91.1028490784052,86.2765779051758,80.2736055898481,72.23778872258,69.0144774347874,64.1107288670614,58.8025776449324,51.9559402900683,48.5491793284586,40.6092522113295,65.9577104873112,62.5817735086205,61.3569803670501,57.4109800112098,56.299932788336,49.6756141895234,51.4324199310679,52.9690560084976,47.7935385650688,47.374750705898,54.4742407545073,49.9158620665742,46.8248086462155,48.2075310563595,48.6915585547431,47.3421122401479,46.1685923524574,45.6471920398674,51.0448050350418,43.1161282568311,49.1095044927541,46.9046892731116,50.2857245011539,49.2579138039841,47.3575528334105,46.4218719681139,45.991498294621,40.0310087252859,47.0326071913088,46.8840736377178,41.8805597919191,43.3176892623198,38.783486775279,39.6419753390872,41.4049437519481,38.5965788659939,40.23920825524,38.428036695024,41.703251119991,38.1834399537765,36.9047627484548,35.6737795282876,32.659513409836,37.3862124682602
"10",50.3221148016976,55.1616203182206,60.8663882157914,57.7000962100118,69.7949437362357,94.6794187981477,108.199593425942,101.492828830601,111.764721840714,107.334115849403,115.468995715131,130.553132875401,132.719017689813,130.676639210007,121.67624636836,123.979782407016,120.804141744174,130.14516949958,92.5763990529778,87.904457432838,84.4842829267016,79.6514529143112,72.6167454623124,69.1108847878854,64.7548251655607,59.3735713235403,52.7732457244037,50.240168039494,41.6811861362789,66.812025874315,63.932077697943,62.1357040759135,59.0441955590834,57.3114604600834,50.9525141146681,52.213599257777,53.4335609964625,48.5618231973913,48.2442316946003,54.2429333022564,50.4218257704783,47.2140513128352,48.694058006996,48.897110594988,47.7661500164637,46.4219063510645,46.3170276720096,50.9777161228312,43.9957681472579,49.5676263015035,47.5812995868896,50.7978634019599,49.76347634631,48.1521053850542,47.1708046429425,46.7858535993509,41.0381427168537,47.7089073732054,47.1011743696018,42.5135259453687,44.1841722882654,39.6475128815665,40.6220364564051,42.251920232134,39.3274518663081,40.8519929492174,38.8647739182046,41.7113540982558,38.7808774579649,37.6315506483736,36.4961118077675,33.5076614044679,38.412970291359
