"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73"
"1",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"2",126,145,166,164,157,196,193,177,194,185,207,197,202,157,149,167,150,134,100,84,89,88,68,68,55,62,53,63,67,80,78,62,98,85,97,96,84,83,77,82,82,63,70,63,65,64,78,78,64,60,70,60,71,71,73,67,69,68,57,61,54,50,52,57,64,48,58,55,49,48,47,37,43
"3",98,99,113,112,103,151,182,177,161,153,404,231.255781626107,213.817623380938,210.02757037147,361,359,361,322,67,65,81,71,54,57,49,38,42,39,38,67,57,69,63,69,58,54,70,55,77,65,74,77,61,64,68,40,51,58,51,48,50,49,51,39,53,37,53,48,50,46,45,51,61,40,34,38,44,37,26,40,31,35,38
"4",135,117,128,116,142,205,205,192,195,192,1e-04,212.926404740771,199.900438469535,196.822344902854,1e-04,1e-04,1e-04,1e-04,78,75,67,81,50,60,47,49,40,45,32,66,66,82,95,74,70,66,74,70,73,64,58,57,76,63,68,61,41,54,42,64,51,62,44,52,43,53,45,59,49,58,38,37,50,48,39,41,44,46,50,41,40,39,42
"5",157,155,131,131,150,215,199,192,207,230,1e-04,196.112598753096,186.925595635422,184.45703726551,1e-04,1e-04,1e-04,1e-04,128,99,91,72,88,55,63,54,51,38,19,68,60,91,79,87,65,61,67,73,73,66,75,72,57,65,64,58,56,60,55,54,60,61,59,44,53,43,55,49,46,43,45,43,45,45,37,54,52,36,44,34,44,28,43
"6",102,135,147,117,129,184,231,194,221,208,1e-04,180.724651006101,174.850827421883,172.883939854112,1e-04,1e-04,1e-04,1e-04,108,121,110,89,74,61,62,71,54,49,27,81,59,67,70,79,82,73,63,75,69,65,65,68,64,58,64,58,60,58,51,55,46,47,62,50,63,48,53,48,56,46,49,58,53,40,50,42,57,47,42,41,54,41,35
"7",50.1115546065048,57.7479898816764,65.6242666560388,60.9791646597278,80.8052582279389,114.295042314135,137.369217944643,121.575366503636,133.632189756778,130.477124793004,135.607572464992,166.731318715549,163.670048763082,162.074124636018,137.958873932064,140.630354496062,133.604898487544,145.406512823342,101.735145992885,95.6555809644113,89.4237812168955,79.5660029385243,70.3079324780377,67.7932884104048,61.545789589718,56.3778249826105,49.2918564721555,44.2628087725877,36.9411551954128,63.5806764939288,59.0767890187758,59.2600806209699,54.4769850299528,55.3459357776562,46.6768856043474,48.824077718819,51.1872402746959,45.1315312670736,44.6219854429153,53.8791996359748,47.7913224833562,44.8049394792731,46.3828274304196,47.4394350861449,45.6821636489173,44.5312148179183,42.9728695908308,49.9018564864216,40.3734500208352,47.0021634786022,44.5207943003354,48.1643736203252,47.0974467380909,44.3919961244498,43.4239687636165,43.3142268331126,37.2058559410068,44.3263573851321,45.3569457183395,39.489573235934,40.3937172111112,36.4357089715049,36.5494722646107,38.3310805559629,35.8807967836648,37.8141136458675,35.9802136021588,40.2593755033349,35.8510577188099,34.0231912321592,32.9959282422652,29.6871761612566,34.1715504096039
"8",49.6828793824419,56.4392802362526,63.5155528725187,59.5032410275937,76.3692540598907,107.593796837466,127.03293082973,114.740315036102,126.174075157085,122.954454736527,128.989390549589,154.076968070785,153.362792558671,151.994795907917,132.902814907006,135.395843219176,129.640461308758,140.663639584403,99.0824714717258,93.2206599509369,88.035530918303,79.5525807083762,71.146312142255,68.3327017827891,62.614525976869,57.3197213580457,50.4221796036807,45.9910003519372,37.9910543794981,64.5757544140827,60.5293126369415,60.1117328763948,56.0317256432707,56.2901304204072,47.9804836148211,49.7114986125519,51.662036744347,45.890752823239,45.4913455819954,53.6729825729806,48.3668453631499,45.2334169024722,46.8708635273558,47.6908227274669,46.1356603664291,44.8725668240238,43.7535313584424,49.8989769451108,41.2767006019949,47.5686277523806,45.2365184470317,48.6996488745285,47.7027877702162,45.2886039018935,44.2955528524773,44.1472635838919,38.2207568824083,45.0835747911492,45.6353391220922,40.2115721669679,41.3224700337898,37.278789867979,37.5910752038584,39.2663429915917,36.6381266196409,38.5293280144181,36.5057912880966,40.3442695168891,36.5083557225139,34.7914401557124,33.8032877396704,30.607544827295,35.2305947759667
"9",49.2875352761246,55.1959399871194,61.520287670502,58.0946710168366,72.2319005012719,101.366843408991,117.574958239336,108.349756439014,119.182318746994,115.918171454152,122.728947402241,142.717229304193,143.926234897857,142.678608470083,128.079933357655,130.400122709112,125.841099239242,136.107108694312,96.5349723944958,90.8869677396652,86.7023197402017,79.5605383392842,72.007782906017,68.8949839967208,63.7112042701183,58.2958567246047,51.5929703480147,47.7924877443378,39.0829990474348,65.6084720600916,62.037934276712,60.9986282736226,57.6495992034581,57.273144332703,49.3338198476347,50.6345803389802,52.1660207799,46.6836918786991,46.395028210147,53.4987613194204,48.9679776913236,45.6885391173014,47.3833552748879,47.9664947187366,46.6107677971649,45.2313571909806,44.5600228338071,49.9176880541955,42.2098833378613,48.1565417494086,45.9757595809395,49.25360216607,48.3287554504854,46.2086241114547,45.1951219535567,45.006753624501,39.2726441939675,45.863043564639,45.9332486530734,40.9596056878754,42.2772153118241,38.1552063411194,38.6705174451523,40.2320466832181,37.4248997625573,39.2680588729392,37.0490754100542,40.4464583318168,37.1844787012908,35.5857659781504,34.637853809157,31.5600914804436,36.3267206579679
"10",48.9484376688111,54.0429860828741,59.667514291808,56.7751390286371,68.4126635554205,95.6384701457413,108.988837685581,102.417587051258,112.663277337331,109.373997440248,116.831907250535,132.603512132573,135.352725970992,134.14809084718,123.515229635933,125.665020677745,122.236098336389,131.753351391834,94.116223414644,88.6806931598983,85.4487788911074,79.6070662259892,72.9035979130833,69.4956898154784,64.8443207485904,59.3225822151499,52.8178190900496,49.6754618513072,40.2290022207974,66.6981719919879,63.6218777180376,61.9407445539535,59.3490427960156,58.31504060905,50.7500763813236,51.6107164010683,52.720092956422,47.528799737541,47.3486711774382,53.3812389133605,49.6107143989845,46.1893500304781,47.9367042887201,48.2854246995845,47.1219637209326,45.61997723065,45.4027915466197,49.9753795472402,43.1821135609745,48.7784384990158,46.7491132363165,49.8370889019259,48.9864249505146,47.1570992067608,46.1322804633814,45.9021724935689,40.3707364232924,46.6730926507783,46.2654488828585,41.7451521626298,43.2625840948103,39.0777795361235,39.7961022538786,41.2355960017059,38.2533870209662,40.039328908288,37.61881462861,40.5798698294909,37.8855751256499,36.4143450336735,35.5068081175925,32.5490666272298,37.4648791459422
