"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73"
"1",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"2",44098,45237,46651,46028,45422,45487,45789,47728,48707,47717,46937,45836,44540,43656,42435,39447,36343,33586,32237,31793,31820,28883,25472,23595,22471,21713,20945,20100,19857,19685,19722,18853,18328,17658,17221,17072,16667,16610,16903,17294,16495,15758,15083,14507,13896,12961,12522,12257,12585,12291,12317,12091,12317,12123,12218,12422,12547,12848,12391,11516,10886,10658,10490,10321,10329,10447,10294,9867,9399,9247,8723,9011,9182
"3",3424,3765,3707,3391,3191,3174,3300,3456,3435,3234,3301,2443.31033518643,2418.57783028006,2425.25935761686,3000,2721,2650,2239,2258,2064,1991,1912,1856,1763,1575,1474,1445,1404,1481,1415,1408,1423,1382,1359,1313,1253,1316,1285,1310,1354,1254,1330,1233,1227,1160,1082,1014,924,932,886,856,891,827,804,908,827,866,884,866,780,808,754,727,728,663,678,694,658,617,649,579,703,705
"4",2001,2077,2147,1959,1927,1774,1803,1848,1946,1851,1893,1952.21825308389,1947.89734778157,1947.50057840183,1697,1740,1631,1508,1406,1330,1224,1245,1242,1260,1027,989,929,929,889,867,894,895,918,860,826,832,818,824,796,760,706,811,785,808,758,691,626,592,590,579,571,556,531,585,524,506,549,513,490,502,446,444,459,427,425,442,474,405,435,401,377,431,442
"5",1619,1560,1595,1550,1388,1410,1263,1418,1457,1374,1455,1567.03590737694,1575.2949808784,1570.90550920422,1337,1293,1300,1109,1141,1098,990,947,962,868,924,776,694,651,665,660,651,643,685,592,614,560,588,588,616,596,552,595,514,591,546,555,530,480,449,445,374,420,375,421,382,354,362,381,376,379,339,345,359,320,312,316,323,312,291,320,309,297,380
"6",1042,1210,1349,1219,1067,1108,1126,1103,1180,1193,1189,1267.69195825048,1282.87848497038,1276.81000605176,1064,1114,1123,999,956,1006,849,830,740,774,718,735,623,603,528,575,473,485,477,478,477,453,496,515,486,472,450,433,423,448,495,456,429,384,360,364,354,341,319,329,322,304,313,291,305,299,268,298,278,271,258,248,298,273,244,265,238,280,276
"7",721.828515814497,765.146754693892,827.026671805628,755.30792874455,770.086995982597,757.646763600766,772.766675230173,782.610966633663,786.664236124956,809.09223071864,837.992620531796,1040.93803841181,1058.86829810653,1053.06246359013,786.810141251777,775.435064246196,774.379363680868,738.353163323375,744.919004244007,703.16261382656,649.788264797636,630.961247155582,603.42990130388,566.601898797282,464.17755077095,437.988676589058,427.233894856143,391.510380899448,402.172545132249,358.632559030343,356.823944514057,308.710261596964,311.955298315824,291.885130346939,276.738700916025,296.553677854117,272.581015827336,279.557408439208,306.335479414194,311.131039008043,275.245542787671,277.674225380373,253.185312413509,297.076505961671,261.485774724028,259.438300856623,263.042593607521,267.149043207401,245.37444232752,247.370308899586,225.776272918547,219.122987994901,205.67447391656,194.706591030911,189.99318201173,200.562529458198,180.228508389686,183.204031683724,169.168610678262,175.891761473925,155.614664875824,167.819543079728,158.193568440926,166.554491779632,156.066826002142,158.781774366582,175.826124110397,164.841020231634,164.083055918328,164.707147607251,143.674603550877,152.920936542647,177.348618445382
"8",677.045196344347,705.693673567222,766.622533974177,704.814405900175,709.077256340565,698.856698528922,714.09206060946,733.64577379474,733.441992004387,755.235756718629,781.422156653168,873.313265801271,891.093856869003,887.054711785541,744.750700346333,735.195253549766,739.34075159443,709.612393632119,718.071236372551,687.582733439889,639.194597517851,626.328155861532,603.050355493086,568.994048991841,477.931889508833,448.050267786494,435.75139676751,404.339878619134,409.61633931231,368.890312896562,366.024315515124,321.756659636638,322.062568491838,302.059029371837,289.801069984924,305.312672691756,283.192863458934,286.771530491977,313.424779410181,318.390668996256,286.229669397677,286.096470602719,264.53918944397,306.271616359018,274.54367996823,274.886781336279,277.276184234319,280.061209165543,258.931293105756,260.442055194395,240.728934366343,233.590710254001,222.627641303261,210.67939990915,207.372377867072,214.855052560544,194.178782254078,197.209361027698,182.259266893532,188.449834627794,168.142000997749,178.219896026267,168.942260047813,177.218099304113,166.321874411016,170.801709696951,186.702553776285,176.403514037905,176.887888538194,176.458810114525,157.659260421992,168.684798656858,192.510368310341
"9",636.673384647716,652.72350796494,712.415610502578,659.196660616638,654.381680897249,646.119509101157,661.357762058879,689.082494824115,685.155751050364,706.372896953987,730.107740609756,751.688660312623,767.887245449162,766.602498450746,706.607013106705,698.754226492187,707.784984794456,683.717095544178,693.981199961971,674.0075420553,630.320943542289,623.18671616143,604.027073997224,572.722047371626,492.95366160721,459.290197864971,445.415651603997,418.508084749013,418.24755794114,380.342899209516,376.390499687873,336.023847585188,333.146100262747,313.191528022178,303.97532129701,314.953098078821,294.817800154719,294.860093883711,321.372194966958,326.50151563479,298.151445473845,295.337715476373,276.805217441589,316.261500085319,288.646051135614,291.613843876508,292.668959004986,294.04032108162,273.624660342931,274.637815979989,257.008821990159,249.345369438676,241.258391571065,228.247741160675,226.599158055381,230.494550281629,209.523341910752,212.587125371177,196.628942244928,202.175590634087,181.881066178269,189.533428699795,180.651909595531,188.781465289249,177.478611433354,183.945476869094,198.52561673616,189.010124920458,190.877537763088,189.2525348214,173.183098131375,186.261179813844,209.184891188329
"10",601.483243542275,606.842643133768,665.03774896711,619.064817490391,606.371401609277,599.85024537507,615.000690239032,649.494968582003,642.299440105208,663.049416131462,684.586371052145,666.751798380991,680.745220152012,683.013281063677,673.274861063213,667.056990483364,680.859755025365,661.774262215483,673.827260895507,663.642197280909,624.330277025951,622.684531000811,607.462430729014,578.889075007359,510.052266050815,472.569339734874,457.101701580792,434.893713324894,429.001298542127,393.834108120269,388.779544035798,352.189501109804,345.825776820838,325.867856081091,319.783195031569,326.060595285132,308.05078262456,304.458169930937,330.809257286212,336.084443663089,311.511003600261,305.930293795474,290.402972554661,327.530257126947,304.219267497012,310.047322613528,309.65920689989,309.558632689576,289.892927258315,290.434337999344,275.040826193376,266.803523541418,261.997998546483,247.840572795706,248.118837187049,247.91047295948,226.695069342636,229.753094136517,212.651257372301,217.427579869692,197.140779091581,202.082290628238,193.619556215939,201.517678779511,189.823779515124,198.5177206865,211.624412577445,202.969721545922,206.3359561026,203.369009158297,190.589520577661,206.043940240943,227.729741879999
"11",573.526455412893,569.990761927718,626.424625340661,586.161565190848,566.45428266095,561.518680621814,576.517399559536,616.48690016676,606.362174210651,626.869281973884,646.467635940486,609.535375859355,621.608175929316,627.989073967798,647.027327472038,642.479868614364,661.383776843614,646.470915864621,660.460381994188,659.387111519192,624.027747126188,627.603456954249,616.041644873795,590.196486565986,531.230817386852,490.021604230087,472.977815728255,455.687986310505,444.200720407409,411.469911638843,405.329993802419,371.938393047432,361.641540897567,341.541927664387,338.507380489127,340.089590672467,324.372764272041,317.147845296706,343.30345036151,348.679262502538,327.544062430942,319.195202716671,306.360326855836,341.273680626129,322.298781957631,331.20281813625,329.303630279019,327.771418156642,308.795738974556,308.995506409298,295.825008837901,286.947453044005,285.803762674503,270.421352026991,272.888424779952,268.110880325525,246.701820488886,249.671080110274,231.185254870282,235.041690811224,214.607164668374,216.636714058785,208.539782609584,216.064631010264,204.031741923073,215.208745657573,226.784184841577,218.997993661469,223.886010966667,219.446176617782,210.588705853535,228.828049126646,248.91675355202
"12",554.736951893312,543.872287249935,598.286928285432,562.06147442009,535.798682678238,532.365159860802,547.180360487537,591.512780676737,578.65465604168,599.258276531702,617.171513546367,574.386902002393,585.548143346873,596.586156522588,630.072101397944,627.357133751541,652.235573514665,640.601052941055,656.8849312333,664.441363400843,632.56947204677,641.153948534117,632.920278132759,609.875194035004,559.017894645295,514.320096609111,495.748909040297,483.720933857802,466.762811602531,435.956016826654,428.777396532233,397.484285930549,382.564614374228,362.085530288014,361.833076036196,358.889642871306,345.716594326366,334.94428738148,360.825581914272,366.218448051828,347.848564943325,336.812081767137,326.012595071762,359.00002034008,344.240948986825,356.43105800935,352.997402895089,350.194146506444,331.739807331836,331.867097093691,320.712216096665,311.10449670906,313.993072872452,297.32084948728,302.237810605883,292.475491534212,270.941122216766,273.671173874986,253.414897812422,256.158454762602,235.219838364861,234.233084153038,226.352365549879,233.275087140028,221.011596545073,234.959670707054,245.059815815633,238.065160339229,244.371644397641,238.344594917904,234.166869957967,255.721331501237,273.805118202376
"13",546.518431381535,529.525521919019,581.62816653733,547.719005733271,514.971025532288,513.016451765818,527.611981995846,575.409828926623,559.863887921523,580.969906702229,597.422136882473,556.662342214002,568.308051208232,584.600691705002,623.879465359972,623.289142237411,655.494725157229,646.320773546647,665.485396831391,681.527989300361,652.76901595453,666.288640605368,661.0661044782,641.03645414038,595.990097400693,548.230511511434,528.208395104152,522.045291627261,499.796170197707,470.25623733037,462.113009321758,431.321777069764,410.767626185051,389.577724019093,391.669469731423,384.470822271253,374.24679949478,360.04808248874,385.467221276462,390.721888937372,374.143654944855,360.583312523377,350.816713016412,382.287408685584,371.512744976205,387.178750185244,382.207877360899,378.42996161596,360.229785908349,360.726988308064,351.207029675106,340.77267009789,348.082374760466,330.117262969838,337.732571139753,322.625594050813,301.098519304392,303.346016183238,280.765688654686,282.141270737927,260.129004909621,256.117262394563,248.209342833709,254.192983857345,241.882086559741,258.935372453291,267.740337476609,261.376166445029,268.833864635186,261.124840837113,262.587757248518,288.150167989781,303.710901627376
