"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73"
"1",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"2",82059,84036,86204,84985,84083,84242,84458,87722,89819,87878,86523,84609,82161,80391,78375,72662,67078,62281,59052,58554,58916,53505,47570,44160,42345,41113,39749,38299,37561,57196,57288,54850,53337,51302,50025,49627,48410,48198,49040,50283,47892,45687,43841,42065,40333,37545,36209,35532,36458,23512,23551,23056,23556,23206,23320,23725,23981,24492,23586,21949,20748,20238,19963,19629,19623,19849,19542,18688,17846,17520,16523,17054,17373
"3",5206,5762,5558,5040,4759,4724,4843,4990,5068,4769,4889,3613.50419279907,3546.9268926541,3538.87995807573,4474,4012,3923,3299,3296,3108,2955,2859,2770,2662,2330,2260,2217,2172,2139,3389,3399,3456,3327,3240,3179,3009,3176,3103,3157,3287,3020,3185,2993,2919,2835,2623,2435,2233,2265,1334,1298,1322,1262,1237,1393,1268,1322,1376,1318,1198,1252,1149,1109,1135,1012,1048,1084,998,957,974,885,1075,1086
"4",2969,3084,3164,2868,2774,2547,2632,2629,2819,2692,1e-04,2853.11872716404,2828.88010904174,2813.47538246186,1e-04,1e-04,1e-04,1e-04,2064,1975,1810,1787,1812,1869,1523,1494,1385,1412,1225,1992,2034,2052,2140,1986,1907,1896,1819,1898,1846,1749,1619,1867,1819,1860,1728,1608,1423,1346,1380,826,820,828,791,855,737,725,785,726,717,726,645,642,644,622,619,658,701,577,611,597,544,621,657
"5",2359,2235,2308,2219,1946,2003,1799,2030,2095,1949,1e-04,2264.6793958611,2266.57010547052,2247.94373463946,1e-04,1e-04,1e-04,1e-04,1704,1610,1509,1423,1402,1294,1377,1187,1078,979,915,1461,1468,1458,1549,1353,1399,1255,1359,1332,1390,1392,1278,1326,1181,1369,1243,1282,1199,1087,1016,618,512,595,515,610,515,498,498,538,521,545,480,502,499,447,456,450,444,447,407,462,435,426,540
"6",1486,1734,1929,1709,1480,1538,1565,1530,1665,1706,1e-04,1813.74157478118,1830.1783871028,1811.29541172647,1e-04,1e-04,1e-04,1e-04,1428,1510,1327,1282,1080,1163,1099,1124,955,907,693,1312,1071,1112,1124,1120,1118,1047,1135,1179,1129,1059,1048,996,992,1059,1127,1037,971,876,833,486,486,473,440,435,442,418,419,399,423,404,376,405,395,375,342,349,429,370,338,365,327,386,409
"7",1058.02334449856,1121.0988051307,1213.35696535533,1097.92386702976,1118.0246796805,1117.13538038825,1114.54737233236,1126.95129367847,1142.1824458954,1185.25906326247,1203.6434741035,1477.49437366929,1499.93766353121,1483.18370587924,1147.33685213574,1130.3186743409,1115.88190896634,1069.57924083939,1138.56127263907,1088.35102903672,1091.02056006464,1063.24454879194,904.423261271373,980.676151089584,737.452288248548,749.245801038817,736.967804207669,645.036656366778,567.901051464563,952.911769912109,954.84629038278,814.721647299328,811.683069679599,768.913822355526,709.133215188937,771.314101143277,720.129706258279,752.084079161031,803.287113949656,810.282804095006,712.730404353066,755.508032130779,669.390852335806,786.371207436868,677.972396706233,672.703757002233,673.561793418745,699.110802087586,625.557147363017,354.927067352294,308.823665931127,306.146806387797,285.987792920144,275.983950957107,267.383790751213,279.388348823112,255.530971621457,257.183704486479,241.958359131778,249.72434356694,224.320967867191,242.253358798324,229.15673862442,238.947460474294,228.931743498124,221.107690265211,260.152567169116,236.068964376335,234.530788198616,237.291801794614,209.384824422401,223.778497383232,269.447326226732
"8",981.607986789322,1021.09737035166,1114.49564494208,1010.35774802497,1016.4635561467,1018.36309626631,1022.1388635744,1048.21557400587,1055.67327920479,1101.86967197814,1120.84512210163,1233.36770598994,1255.91543257525,1243.05230594181,1079.20437076047,1063.26253271196,1057.57771278457,1018.27826296571,1085.17195080443,1047.80597598549,1044.91825337516,1027.01080123313,891.960750425734,954.01775054933,743.682565769339,745.151588680183,728.072902344845,649.859575531365,567.14658724686,937.449162511209,933.271529890077,813.689191785793,805.718582049111,764.212663578083,717.010242683467,761.073885817376,715.042174986314,732.266802211623,783.152398641209,791.967704738271,711.271267217536,740.06083556793,669.672745038796,775.304395375952,684.557065574114,687.792939549175,683.976342498874,702.937815141596,634.583701609335,366.909001834845,325.737126706724,321.173061650495,305.370988439413,293.462037764642,286.901904117236,295.364474368662,270.311282851909,272.133712034859,256.414453621526,263.771039350323,238.070547785229,252.779518229664,240.343127162164,249.70592436639,239.073880187514,234.80623171681,269.82055444305,248.466447748438,249.205411895468,249.980744617914,225.177499774289,242.881472170654,286.354758675677
"9",913.485763685175,933.113817902266,1026.54800332225,932.304480228529,926.574610840122,930.724303645309,939.627808097812,977.033579094365,977.797344144809,1026.41826406284,1045.76104443967,1059.47838539998,1079.05756398071,1071.15072654871,1017.62249874926,1002.75519447155,1005.07761830201,971.998619405171,1037.07640714236,1011.4652150927,1003.62660590643,994.702473009937,881.839952271993,930.709399968354,751.485473923947,742.924933819893,721.191758696921,656.383601611139,567.970404689305,925.494141843144,915.645159254158,815.163425970539,802.128225254036,761.758842950116,726.714595146769,753.282627263293,712.241122023486,715.641800605177,766.163042447373,776.661620136044,711.717949884143,727.201036202709,671.571193800966,766.402513138839,692.750984383765,704.620045538088,696.103680149715,708.610661790179,645.350909205806,380.007954821178,344.083053120716,337.485843880232,326.504954407243,312.516219741641,308.274346260463,312.753323165734,286.464096760753,288.450062499642,272.176061566229,279.043560983296,253.017374051238,264.210094009783,252.461581962274,261.306852227886,250.061078355843,249.681618793492,280.342332786978,261.891797276859,265.094891733138,263.689191488003,242.490357426861,263.937978183992,304.718991911027
"10",854.75647882342,857.826766832952,950.296048505679,864.495356416041,848.660401465075,854.58784751735,867.486993169051,914.138909256469,909.144762264564,959.615208755681,979.105428626436,940.784043394826,955.807718539086,953.715209280153,963.820988981101,950.071320272327,959.920988740223,932.240501800395,995.932848601126,981.086759477281,968.938614360208,968.123229058252,875.714693972925,912.603997337105,762.148672320314,744.033593210968,717.792556988785,666.017440588967,571.654987216041,919.515664003958,904.503662407225,821.186064182944,802.753741257276,763.316634384404,739.742037669112,749.715867345652,713.510842098599,704.121181128618,754.220230915652,766.259253039503,715.611285624668,718.605262705838,676.408248273307,761.196265213808,703.872716623355,724.453218356794,711.304257490739,717.659333029727,659.265839410239,394.910166098652,364.429952359253,355.671370674439,349.947471182663,333.712193739097,332.074652945426,332.122776360458,304.575471117308,306.699173095601,289.755633932442,296.034787139447,269.584523128013,277.003250871652,265.924855712363,274.12464624944,262.302299719397,266.130955588705,292.204244781749,276.761297980337,282.568508491956,278.80017743235,261.775900809552,287.455175127059,325.023399700118
