"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73"
"1",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"2",4277,4369,5012,5051,4770,4870,5177,5708,5483,5425,5263,5115,4893,4947,4613,4447,3905,3325,4018,3677,3306,2857,2242,1923,1469,1275,1150,968,953,827,714,619,584,616,551,562,501,532,503,449,485,487,436,432,377,371,346,312,351,307,282,289,248,272,277,272,277,251,242,237,227,238,213,217,240,213,205,177,172,173,128,153,159
"3",778,878,938,829,729,736,798,936,873,779,858,415.933561790969,413.885290419396,452.665280330414,664,610,565,430,468,346,332,311,300,262,198,170,164,139,122,140,109,104,106,103,113,102,77,89,100,110,96,85,93,83,67,75,79,60,60,57,63,69,54,62,74,64,58,70,68,76,65,54,49,67,71,47,60,59,51,54,43,36,56
"4",362,343,376,366,357,312,312,374,405,327,385,316.408812011932,317.203677543611,342.916643495783,291,281,246,212,200,188,169,166,158,138,112,86,72,66,74,65,52,60,59,53,62,59,50,48,32,35,41,42,46,39,33,36,33,49,36,43,31,23,32,37,35,24,34,21,35,34,23,35,25,27,34,25,26,25,27,24,30,24,35
"5",212,216,237,235,204,179,186,235,210,205,206,241.445244475859,243.9173742949,260.726688305286,164,169,145,119,138,132,105,92,110,73,65,61,50,39,45,35,36,24,41,38,31,28,27,37,34,35,24,24,32,24,22,37,29,27,25,31,21,22,21,22,27,22,20,21,27,37,18,22,23,22,17,12,18,15,19,24,17,20,26
"6",127,169,163,161,140,140,136,146,141,127,141,185.209024585551,188.621583648243,199.46248020304,110,121,94,88,87,79,67,67,62,55,50,61,35,35,35,28,22,23,14,18,18,31,23,23,22,22,21,23,15,16,21,22,23,17,15,12,12,19,8,21,11,16,14,15,23,25,16,12,14,15,12,14,13,17,21,20,8,13,20
"7",73.3583817709991,76.2770848798696,82.330024435994,86.1447948810253,67.3957782049644,73.698455875004,76.5531514673071,83.7681825326993,66.5073872403025,73.2057430572179,75.9609137940656,143.481563711258,147.42075819029,154.376238310448,63.5769927825041,59.9192712682849,59.4653150827893,51.3301069859977,53.6398782723795,54.0140296133155,45.852832453742,41.4431619240794,40.4653095846276,35.6111751199188,31.1518055925033,25.8169801234269,24.3527457175886,25.110036161723,19.2545445709748,16.8246157002558,16.3142404760522,14.5518307078069,12.8551763800928,11.5603296354753,14.8220363657841,13.3676053399379,13.1002383348177,10.8073657349651,9.98103023601998,10.4390970692811,12.2370283881524,11.362922197499,11.0073555383194,13.5859138776227,9.13037522808322,11.6637301072582,13.778097223969,13.2040843327872,15.6578181155041,10.5653897260738,10.7232830272396,9.77534178849241,12.5850811296496,11.7883250796626,8.63288123134421,10.1978678247687,9.18820481721319,10.8688780890122,8.18930029001121,15.4889915484708,9.03682831531718,11.1634252712339,10.5142403592,12.9635376960938,10.3413062378139,12.2670258897487,10.7926181537004,11.4506316107321,16.3663674242717,12.2731102346537,10.811783767309,6.68309990230163,12.4866898402778
"8",68.1529969458802,70.6802455855353,75.6701275625368,78.9234821802213,61.8893585324343,67.875926232699,69.7388000427169,81.3359558520419,62.1719483611941,68.3685991050971,71.0055120099838,112.741716283812,116.991440195969,121.486663962491,59.775106875207,56.7275606318148,56.830774259065,49.6750152326813,53.6076689343644,53.5137475815752,46.1601513220575,41.9217372132025,40.7921064383132,36.2416556170051,32.0183964499461,26.6681733516717,25.2662483406617,25.6471616864893,20.1089421757733,17.4218037120602,17.1227357976502,15.2664154629194,13.601450196471,12.3010864886463,15.309335563169,13.9590046967091,13.7269155125341,11.5421491042263,10.6987694392523,11.1742607571348,12.9330536665089,12.0168414814062,11.6436840060399,14.1952423609048,9.79051159924164,12.3725265470398,14.4154080593913,13.6875477187563,15.976314627552,11.129322650361,11.2514088207791,10.3087317099066,13.0915481996315,12.3641773342186,9.13066259910139,10.5029837066268,9.56936900732336,11.2732854749541,8.79635386176836,16.3420561899325,9.49720335256575,11.639524925934,10.8211639525325,13.3521198448365,10.8298012641732,12.683352713406,11.2619549166997,11.8814842164311,16.5711662201834,12.7453335135057,11.4132966819605,7.15671065097807,12.9370319234822
"9",63.3739684479186,65.5502481963943,69.6021392046424,72.3705405819519,56.8738581235465,62.5522558737093,63.5733321026632,79.0081366375487,58.1611351121502,63.8842800647698,66.4101448856835,90.1056179528319,94.5485514313447,97.5160895045568,56.228457974221,53.7281730630782,54.333820215125,48.0843676242401,53.5863186465299,53.0302368461682,46.4779318601063,42.4108429294262,41.128275046047,36.8850142600152,32.9084144347624,27.5492358025125,26.2149436420209,26.1961193633805,21.0027843258906,18.0426413543381,17.9721832555075,16.016443127519,14.3915495834483,13.089837493226,15.815047235028,14.5776636306108,14.385351437147,12.3277995150329,11.468726799357,11.9624820152393,13.669249672562,12.7096827272252,12.3169855435225,14.833330299967,10.4984104255901,13.1242627449581,15.0822836129894,14.1899686298287,16.3049902672964,11.7238244709249,11.8058162054288,10.8714275918597,13.6176788331541,12.9676795490815,9.65685891519627,10.8188773646198,9.96790136679856,11.6938464977113,9.44744805840479,17.2437649878624,9.98189762669917,12.1371836781127,11.1386605680144,13.7536163729047,11.3430962661552,13.1152072123649,11.7539362213807,12.329843614583,16.7818268990289,13.2375234960624,12.0494015974035,7.66458089369045,13.4066607821784
"10",59.0255430754422,60.8864439395527,64.1088231445645,66.4657714550672,52.3327111592001,57.7106062965677,58.0223698158483,76.8061107284562,54.4798723734289,59.7499742568831,62.1741173009656,73.4720780086125,78.0625903442606,80.1136520071633,52.9394957549625,50.9254427795806,51.9825228135253,46.5639787086883,53.5845220491653,52.5727865025974,46.8131628433994,42.9147888230455,41.4794608898284,37.5429446041567,33.8219110347588,28.462773113202,27.2009950924325,26.7574584512635,21.9392466041915,18.690188816816,18.8654488722998,16.8039867331287,15.2285059314656,13.930179292332,16.341924729634,15.2258070013323,15.0787401796828,13.1686834017138,12.2952681934777,12.8087884641811,14.4484633274864,13.4449349195763,13.0295789766113,15.5028013432795,11.2575591793338,13.9214179035581,15.7801715646566,14.7131818591538,16.6472444359497,12.350974922572,12.3880556128441,11.4652219365063,14.1636048445854,13.5997298564587,10.2128301818391,11.1473380528247,10.3859571056767,12.1321692800043,10.1448747081893,18.1983933873481,10.492971952415,12.6584821481315,11.4684708166752,14.1695409846153,11.8839825099202,13.5643758356282,12.2716218249155,12.7975488503213,17.0011934975294,13.7520911469502,12.7231079981833,8.20983902466003,13.8990355202353
