"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73"
"1",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"2",5462,5489,6153,6359,6144,6418,6917,7748,7195,7057,7177,6669,6664,6605,6161,6030,5299,4383,5304,4884,4487,3879,3164,2561,1921,1651,1490,1352,1217,1062,1012,895,809,840,769,777,797,700,716,708,686,635,680,621,610,505,523,501,467,380,369,407,388,416,361,391,415,389,336,356,349,352,284,304,277,324,333,262,239,254,180,190,227
"3",984,963,1012,1043,950,884,927,1056,987,948,990,514.970623240818,514.473794028593,534.575483456924,787,654,702,588,552,485,470,433,358,307,245,220,195,191,158,147,145,151,131,144,106,120,113,113,106,116,106,118,107,82,106,78,80,96,84,82,71,66,82,93,68,79,85,76,84,80,70,76,65,84,78,75,87,77,84,77,46,41,71
"4",373,463,448,467,367,406,356,472,393,456,443,383.59568675604,388.684706291628,398.997175328907,344,297,290,257,280,234,214,161,196,164,118,113,93,97,89,77,83,67,67,84,62,67,63,47,63,58,49,53,43,60,45,42,53,47,42,44,31,35,32,59,33,35,33,44,41,41,36,32,46,39,36,31,31,31,33,34,33,26,40
"5",288,243,276,287,209,218,227,251,260,224,261,286.849005985264,294.790473086739,299.010445767159,191,155,177,148,148,142,123,121,120,94,92,68,64,54,59,56,38,50,37,29,39,33,26,44,26,34,38,36,32,42,34,27,30,33,31,28,15,21,29,23,31,33,22,25,34,23,34,32,21,25,25,21,24,22,34,21,20,16,21
"6",140,189,216,192,152,143,165,191,154,153,173,215.915857266016,225.045688990108,225.615212686563,128,136,103,126,107,121,99,68,54,66,55,46,52,39,29,36,29,29,34,27,26,25,26,29,20,26,16,35,24,28,29,18,32,16,20,18,19,26,32,25,18,12,23,19,17,20,21,22,21,18,29,17,18,16,24,15,11,14,31
"7",80.8079728518667,85.5982182341522,95.7165759479066,94.1372915667393,75.9534115750437,80.8047624381405,81.7357438051953,107.329333981409,78.764477097122,74.4490792484122,89.3500778721828,164.534083223614,173.926723257396,172.427933804598,62.8036411236588,68.9774733369883,60.6442073411052,55.4984924196506,60.5097273252697,61.5959514969176,49.5072753116385,39.0004253040082,37.888637706266,38.8048190207418,32.8248266647663,23.5571225054452,22.6551984709978,24.0703675782972,22.6701878835275,18.3932299679518,16.012976378805,16.0387787131138,13.8932387472467,12.6999995028176,15.1843431381369,13.9028875903624,12.9656849769757,13.3709688118392,14.1326099823142,15.4838310099376,15.2419878993432,15.6356869922075,13.5963958486458,16.0895776108174,15.9135044933698,14.7283994166156,17.6406476616008,15.8857471185842,14.7667739634062,14.8404953972206,14.2070805803149,12.3442478628746,13.2526682680038,14.9955198961289,12.7582293209816,13.8400133740991,13.0168678540617,13.5647917021949,13.2108266245346,19.9269950379587,13.1902369880783,16.0398707338707,11.8677545565709,16.915295446619,14.8877721848768,14.6941406337915,13.0925463999461,14.9061130904478,14.1851122654991,15.288453205046,13.0740341969278,10.5442158971617,15.2774688527316
"8",75.8080976603881,79.2645869736459,87.2798156269002,86.2612856170949,69.9169326534753,74.5838887167069,74.1808818066915,101.192706731365,73.57059298352,70.4351151493797,82.9421140473731,127.604869373726,136.806914166726,134.214461412055,60.294659078651,66.1419088391306,59.3669838385315,54.7765230846022,60.9904311642876,61.409020369975,50.5774944302011,40.5584969483086,39.7054354712812,40.3320917243908,34.4096382068272,25.234988428232,23.9880948315155,25.4197688453564,23.9917664241263,19.2500139948681,17.0165496912837,17.0327835653367,14.9710403779535,13.6854417621909,16.1180339043272,14.7663908840113,13.9948074926073,14.2479197499869,14.9728723653924,16.2887257523599,15.8622923679024,16.4343405060771,14.3329592637436,16.9118196329347,16.6459531692733,15.566583137809,18.2863294319057,16.6014826179663,15.5482392892269,15.6088688728526,14.9315745452687,13.0214495377918,14.0114546419564,15.8262098155648,13.5102469941535,14.4599835512128,13.6417273860216,14.300284997126,13.8460362186726,20.8805189439458,13.8469086259065,16.7756005204593,12.4755621189098,17.3997995007212,15.5139723615679,15.4132706337455,13.8546908520344,15.5478702190842,14.8569903655356,15.9740915930418,13.8992636395773,11.0976650573847,15.9537245104955
"9",71.1621905807994,73.4604991403157,79.6623610098201,79.1142185501004,64.4085321737117,68.8970592266818,67.3884286439978,95.4569503815852,68.7654607929942,66.6691146493226,77.051717685155,101.048861618179,109.868907119501,106.762231564794,57.9072847755433,63.4420779876497,58.1320679251504,54.0761656763336,61.4899702732869,61.2446222630303,51.6811788488121,42.1866284335146,41.6101288733964,41.9221576301629,36.0710811775695,27.0337218366637,25.4008364109803,26.8449463281122,25.3924503143322,20.1494839937028,18.0843950107176,18.0902048146724,16.1328187488559,14.7476744495572,17.1100044497837,15.6860641826148,15.1050852489691,15.1836342200145,15.8655009763394,17.1380253186936,16.5104029891097,17.2751620468259,15.1111468911932,17.7765017496903,17.4138021222187,16.4523659314369,18.9566306002949,17.3512199556393,16.3710479129956,16.4157733299044,15.6935099961476,13.7359930146966,14.812905502244,16.7025564458197,14.3061076415695,15.1087301082528,14.2971806088389,15.0759199920127,14.5142681852308,21.8841156749682,14.5381025061138,17.5477248742608,13.1164270878829,17.9017212166519,16.170682486021,16.1699999326873,14.6627205773081,16.2206656702726,15.5639408270967,16.6920204171981,14.7771956070597,11.6832627794328,16.6624194938025
"10",66.8764507311674,68.1830914249585,72.8341067264579,72.6749304361233,59.4142829468489,63.7355524786482,61.3228118382389,90.1312896269797,64.3520579685667,63.158274435995,71.67671596216,81.9930605995977,90.3979614204467,87.107944798355,55.6514346198368,60.8855799432167,56.9500414799646,53.4065165794002,62.0209181533176,61.1201864809525,52.8279996833757,43.8947966486671,43.6076646438407,43.5799462752856,37.8129639750358,28.9633021855974,26.8995062080511,28.3502712952572,26.878852805507,21.0962297919626,19.2218924624595,19.2167511871916,17.3854614083898,15.892990416711,18.1646873373719,16.667888056982,16.3024147899069,16.1832030608611,16.8159549130453,18.0364808553144,17.1898092747026,18.1616101800421,15.9348647436849,18.6861918289466,18.2202596383232,17.3883586612092,19.6533479540969,18.138127165137,17.2373760483619,17.2620136237688,16.4952666969678,14.4901099850763,15.6587095079993,17.6267427497245,15.1479255135857,15.7884780075491,14.9852587376805,15.8941249643413,15.2194447563806,22.9443658117057,15.2672691001674,18.36038926486,13.7938747365532,18.424696843061,16.863042461362,16.9684391204656,15.5207807483891,16.9289972528802,16.3106768366173,17.445124689355,15.7117607840041,12.3056552641107,17.4073200609355
