"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73"
"1",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"2",111491,114867,116714,115729,113962,113990,115353,118369,120252,118886,118022,115033,112721,110393,106165,98424,90848,84480,81024,80022,79426,72461,64730,59933,57312,54744,51919,51103,49543,75511,74907,71171,69924,66721,65013,66804,64472,63307,63925,65028,63545,60962,56684,54917,51556,48178,46188,45661,45662,29928,30088,29553,30001,30392,30002,30619,30435,31000,29809,27950,25999,25264,24912,24885,24490,24602,24304,23551,22860,21990,20564,20547,21431
"3",6408,6349,6544,6180,5784,5715,5578,5677,5665,5536,5880,4331.87765572386,4076.68432121233,4205.07266478565,4981,4806,4698,4014,3940,3584,3361,3405,3422,3268,2823,2717,2669,2690,2619,3976,4399,4168,4169,4039,3881,3763,3775,3758,3799,3739,3732,3749,3419,3416,3268,3214,2796,2756,2594,1626,1649,1700,1623,1576,1615,1627,1469,1591,1675,1451,1389,1380,1345,1391,1196,1382,1293,1264,1261,1242,1196,1193,1390
"4",3672,3817,3893,3545,3329,3280,3227,3327,3509,3420,1e-04,3462.75902691722,3293.11011369168,3387.68315071997,1e-04,1e-04,1e-04,1e-04,2601,2437,2292,2246,2296,2361,2063,1867,1837,1849,1738,2673,2725,2727,2550,2671,2481,2550,2485,2493,2526,2304,2331,2298,2245,2357,2217,2157,2033,1813,1754,1137,1034,1061,1037,1056,935,1022,941,926,961,927,918,886,880,813,792,792,815,829,869,722,685,750,868
"5",2805,2734,2833,2661,2417,2439,2334,2359,2552,2425,1e-04,2783.67871786404,2674.32588993929,2742.9459377824,1e-04,1e-04,1e-04,1e-04,2114,1969,2040,1897,1758,1943,1788,1549,1554,1380,1289,2153,2156,1896,1969,2101,1707,1812,1924,1921,1856,1822,1670,1822,1640,1888,1740,1596,1604,1401,1243,833,751,760,731,794,665,704,678,690,721,666,688,657,630,550,597,641,640,628,625,555,574,598,656
"6",1815,2396,2297,2079,1886,1807,1891,1863,1912,2036,1e-04,2259.23385156407,2191.43500283276,2239.89873849883,1e-04,1e-04,1e-04,1e-04,1910,1750,1769,1648,1442,1671,1483,1480,1283,1140,1033,1717,1656,1777,1509,1624,1411,1593,1556,1562,1458,1519,1418,1397,1348,1401,1406,1348,1278,1165,1050,629,545,634,602,562,567,554,515,549,532,492,489,506,562,515,490,461,455,443,463,410,435,468,511
"7",1406.26047149709,1460.0999207692,1633.55516200336,1492.8720992821,1465.09695576158,1506.69687306788,1473.59194001033,1492.58982090886,1461.64346178676,1565.21098351367,1532.5660088963,1867.45402213117,1827.13985636835,1859.44833409673,1500.90217931538,1456.32134357393,1468.05002370532,1378.04168130928,1562.45099781836,1550.86589307002,1600.076017921,1502.78705597191,1167.91267281949,1323.7260923145,1079.73471330636,1059.73004353859,1045.68948311074,1012.59885228013,736.954276213344,1403.57129360461,1342.61318370782,1234.01156439539,1173.38138570816,1091.48797844192,1032.10600457936,1013.36705818336,1027.82369992111,1188.12513390265,1121.57336221731,1074.97972522914,1035.78545644973,958.359618521329,953.025750273649,906.264353616582,889.499477326173,924.928377177765,919.849413660328,834.278756332742,824.958968759029,392.946810832731,357.85280164231,327.119851012082,323.55501689315,306.780759451712,309.333975756802,282.142748962577,285.820799705767,285.211258464123,253.407853267874,261.275395850272,243.239583405377,268.284857255581,252.697134842551,281.188412665883,269.75418119559,279.650092787435,268.823150491085,251.33711971951,245.599676936812,250.950039605922,221.304124700158,255.059093844232,280.578130164738
"8",1316.78331315432,1364.18926517344,1502.76645284096,1396.054503728,1360.4390613915,1397.71850491057,1371.75792011303,1408.99494607784,1382.79694294978,1486.57154523891,1450.90719174167,1584.8875946429,1562.03930735169,1580.77810603178,1432.05933221605,1391.94801509235,1399.88243879421,1329.91755330153,1494.97489656328,1480.62383820688,1523.53960447029,1441.21908784543,1160.68914675818,1300.73460215232,1081.18225801281,1055.95130145537,1036.07651166942,1001.99069787037,749.448197249494,1366.80036547149,1308.47413954849,1217.455713579,1158.85902255814,1086.21774658499,1036.96881986153,1016.37221811385,1025.62559458059,1149.95428129055,1095.76211123055,1060.39292929789,1017.10392911813,966.160301829233,954.98301172679,925.283246614124,908.635424524187,939.410824843887,928.020826449436,852.076595104797,839.53095074234,418.181323209573,386.233728673406,355.783146532814,353.514863661937,338.17472914496,337.592518954161,311.847659031452,311.59001669186,311.363756049303,278.482815145784,285.166783445515,265.831587738576,289.794144437579,273.302705892408,298.308312739537,289.650452581659,299.515296592196,288.588594249304,276.854590554495,268.403838166192,276.288719489507,251.782746055394,284.138952187869,309.931849353191
"9",1236.99697633466,1278.59812293805,1387.54874756634,1309.58269078305,1267.34980807153,1300.97975316839,1281.23022173395,1334.17268776755,1312.11382694785,1415.96243478237,1377.99235754274,1388.36004231326,1376.70366421707,1384.14985409748,1371.57386003026,1335.84243723279,1340.93479833904,1288.83903725703,1436.88811943268,1420.54338672792,1457.62943483853,1388.84931365723,1158.48138499568,1283.95518390743,1087.25602604148,1056.76346769414,1031.12052230976,996.174518745533,765.434074319492,1338.98155934603,1282.76995123843,1207.36644357305,1150.31621401603,1085.99094200475,1046.21852690614,1023.74391344299,1028.32844462071,1119.06759045087,1076.28370877158,1051.15304036525,1004.05822153049,978.17000607819,961.0551288267,948.316352391003,931.925806712293,958.009608666527,940.318825260737,873.769304463568,857.879166035623,446.564489073605,418.142410689713,388.138746492566,387.357286179384,373.786039128727,369.531392499168,345.68513767051,340.823792562396,341.00059079757,306.988899681997,312.174863839261,291.393608911148,313.953202739463,296.448461590348,317.436222760246,311.858841418745,321.716352489526,310.783395017914,305.730193903664,294.122465651194,304.929689011183,287.116228993771,317.461354183518,343.338239526043
"10",1168.83535223228,1205.1874796936,1289.67975356398,1235.36350309457,1187.52216053329,1218.26912437807,1203.88621787165,1270.32765327535,1251.75206507837,1355.73218247696,1316.28778608076,1262.53794100053,1258.23459591615,1256.08696142463,1322.65982679823,1291.42396625976,1294.98059372663,1258.45098528127,1392.3389229571,1375.04549938631,1406.65218351599,1350.04863103424,1165.27803720876,1277.80034491002,1101.80071857475,1065.88705342088,1034.4367884061,998.837492320606,787.841947330494,1325.95066550057,1271.04993292161,1208.60574993334,1152.28867290983,1094.86931624652,1063.53863867352,1039.13271447337,1039.95042558586,1099.71283186413,1067.38654251441,1051.25826892932,1000.6784560931,997.944911578044,974.671834264916,978.64444282336,962.77932544223,984.174069605521,960.234533962346,902.555784428498,883.153708886123,479.836556064986,455.19656266303,425.775539969081,426.644341502524,415.163392206928,406.675745770821,385.217762840609,375.067914759221,375.619049455206,340.314912893448,343.593397408295,321.148586158456,341.945731219402,323.247357483889,339.654970353384,337.419695059486,347.365122194785,336.593163754786,339.155590588106,323.890809811117,338.029432642203,328.76938446197,356.573310756515,382.320345983366
