"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73"
"1",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"2",2129,2144,2160,2134,2120,1970,2066,2133,2311,2216,2252,2140,2142,2053,2024,2010,1881,1674,1519,1507,1397,1479,1196,1109,959,868,851,838,818,754,817,684,784,669,619,617,674,711,709,737,717,790,668,735,708,625,645,649,658,558,540,611,615,601,676,665,737,780,804,781,718,696,744,730,716,811,791,831,770,834,748,818,865
"3",1015,964,970,988,886,957,852,952,919,989,968,823.045670562074,807.853395855532,866.359609476336,943,990,1027,902,837,812,811,857,916,831,709,694,642,649,693,628,681,652,672,613,572,595,603,576,581,609,572,567,522,576,522,509,481,441,457,394,332,329,337,333,313,355,300,350,334,318,293,282,281,279,215,259,276,275,233,233,248,255,293
"4",766,795,829,786,777,698,750,712,791,768,800,736.203506743572,724.464486108103,774.880910874879,830,851,836,829,778,760,723,732,786,790,667,609,572,638,635,589,592,594,587,549,559,522,536,544,526,505,502,519,528,510,520,457,398,371,381,314,334,292,293,307,287,313,274,272,259,282,285,246,239,241,229,229,226,235,255,215,237,219,255
"5",638,662,641,648,621,628,639,552,647,619,699,660.858980792693,651.913240829386,695.241465228927,693,743,746,781,699,691,695,631,668,700,694,579,573,526,540,547,556,483,468,516,441,463,467,502,488,435,376,404,428,432,427,352,369,358,310,255,255,245,236,266,230,225,217,215,209,229,209,202,177,212,170,185,190,198,184,143,185,201,187
"6",437,589,581,577,533,490,518,505,509,549,548,596.795767444122,590.046056080003,627.117643805445,654,684,657,620,637,625,569,562,542,563,539,532,527,410,471,447,408,417,373,396,365,404,394,382,376,374,352,327,295,323,335,317,282,250,257,202,216,216,209,181,176,194,178,189,151,172,148,163,164,152,186,146,134,131,137,132,123,165,143
"7",359.87862479623,369.169038996444,361.789473818752,381.022973379232,383.740295189096,388.010413130296,401.605500965922,385.623099063811,400.364093351752,389.606911050669,416.574309872391,545.466502960111,540.331214389779,571.790986377451,438.396085050226,441.440903261616,458.83713236497,445.137526770369,465.524792846276,445.179929944218,433.931236983795,427.975609465238,380.282211574895,381.810114213202,310.738728318501,298.254213174399,282.425121055505,278.316479032906,269.65775576364,259.152436303788,215.038333208674,204.29714634454,182.901634937147,180.331362360059,175.252688702297,177.499589960807,172.620826021601,185.738601533501,186.972183549631,179.161582157293,140.488179065907,140.055839105983,134.165325582216,123.419124580589,122.229924397998,126.85140260561,120.873833198465,117.272341165583,121.238293984302,107.231823792981,97.8162128222383,89.4536186206069,78.3951716924217,69.9250656119551,74.1502129585498,65.3644300182065,61.8307292569032,55.7057397925071,50.5095004047811,46.7166113439568,50.2844399403414,47.8411023737389,46.8997195005399,47.7212431317135,48.5419193876737,44.9417239154384,47.8198813733507,43.6435468659918,48.5951104904444,46.4439827803237,44.5237017360346,51.7724585979141,44.9989308437856
"8",364.838727890292,378.541737012234,372.423720527382,391.033066059731,390.679432885093,395.892218427416,409.769113755351,399.664894850344,411.139240568578,405.088198598893,429.500452096824,507.407191227424,503.353569728476,529.643537791368,451.753185777692,454.661388065631,473.918543548808,462.776178359628,485.911467288158,465.829547077664,458.308736830277,450.5878573385,410.447082087567,413.436020334169,343.034697743598,329.861146103362,310.908991992035,306.846949849321,297.031288501028,284.01127239192,240.499329215476,229.300156149571,206.699949692006,203.525383927853,198.308522225748,200.966358587793,196.524553637036,209.046964699973,209.134527016057,201.659116957084,163.228435460523,163.739699556465,156.877313601446,146.682450839515,145.799822457091,150.422809310945,143.141616782944,139.017242635112,142.446482905174,125.532022260777,116.034500761839,106.842903456236,95.264423972486,86.0602319788894,90.3443786786318,80.3064162990704,75.6817235404559,68.9435306032892,62.7702316335096,58.1078904523919,61.7192712277239,59.0794342746691,57.6622630959053,58.2945550938922,59.4581476857209,55.5300803918691,58.8667404125703,55.1186503444432,59.8099607258116,57.5512994696292,56.3927227171251,64.3928761346015,56.684041648532
"9",370.714637439791,388.897159959418,384.199336508455,402.149416843003,398.589085972142,404.797282512655,419.049982849525,415.025264100674,423.128742531755,422.046840915776,443.819612981509,482.609011150453,479.313262753333,500.938629548375,466.881645671621,469.81929389698,491.251637251326,482.741663101154,508.919179768466,489.229814126687,485.680660054515,476.089241526212,444.419177100337,449.108313401735,379.805511767071,365.868960276321,343.323652103177,339.393964588275,328.258696026045,312.388654355987,269.871922586102,258.11354787302,234.226404822138,230.268962278344,224.926197220073,228.05651781297,224.295474696596,235.883332616719,234.604993821617,227.602172377672,190.115252813173,191.844646980323,183.81692899118,174.66773786223,174.25211552724,178.711503579569,169.848190533208,165.101980869544,167.690830404067,147.188998374677,137.846239108349,127.796424311048,115.917310367058,106.033298339807,110.21672882254,98.7869995335428,92.7725537242211,85.4385917666307,78.0968884727121,72.350719490743,75.8407735985262,73.0337863590969,70.9687612505801,71.2821588522358,72.9028934670153,68.6824467837442,72.5442107433359,69.6596527445704,73.6794309821941,71.3720523889792,71.4791980082675,80.1722970490768,71.4637953260702
"10",378.243658208869,400.920418981286,397.895145626615,415.151553440352,408.219087906677,415.499956099955,430.302108057239,432.49344858405,437.19005453639,441.341897524872,460.472073159384,471.686060476173,468.991546528964,486.425616424037,485.072345004842,488.370873085981,512.520834036085,506.648940511623,536.300297163167,517.223190005695,517.812386023167,506.283607027756,483.983706651787,490.672627772923,422.766496906507,407.92528163435,381.239995306414,377.587327227226,364.927872462324,345.868424753633,304.661548441918,292.082332318207,266.718949086963,261.690466141403,256.205532866316,259.871834836299,257.145848707506,267.400683444295,264.565752355649,258.154984925046,222.416779143263,225.659601650503,216.197920339375,208.721821100211,208.989727933725,213.048457284648,202.263370503436,196.74562970707,198.106787293794,173.079797554988,164.190254584024,153.258768439722,141.387473477633,130.898656290818,134.773828273014,121.795338209466,114.028287698252,106.131366901031,97.3688812239699,90.251941591353,93.3861692317802,90.4549353712225,87.5118402013515,87.3224351617976,89.5518641177607,85.1059190133653,89.5758175280967,88.1488223678333,90.9138452194743,88.6404107896046,90.7248489279153,100.005327669075,90.2354554605733
